match_number,date,opponent,venue,result,margin
4,2011-04-10,Mumbai Indians,Feroz Shah Kotla,lost,by 8 wickets
7,2011-04-12,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 6 wickets
16,2011-04-17,Pune Warriors,Dr DY Patil Sports Academy,won,by 3 wickets
19,2011-04-19,Deccan Chargers,Feroz Shah Kotla,lost,by 16 runs
26,2011-04-23,Kings XI Punjab,Feroz Shah Kotla,won,by 29 runs
30,2011-04-26,Royal Challengers Bangalore,Feroz Shah Kotla,lost,by 3 wickets
33,2011-04-28,Kolkata Knight Riders,Feroz Shah Kotla,lost,by 17 runs
36,2011-04-30,Kochi Tuskers Kerala,Nehru Stadium,won,by 38 runs
41,2011-05-02,Kochi Tuskers Kerala,Feroz Shah Kotla,lost,by 7 wickets
46,2011-05-05,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 4 wickets
49,2011-05-07,Mumbai Indians,Wankhede Stadium,lost,by 32 runs
56,2011-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 18 runs
60,2011-05-15,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,lost,by 29 runs
68,2011-05-21,Pune Warriors,Feroz Shah Kotla,no result,
