match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
4,Mumbai Indians,DA Warner,1,3,0,0,33.33,b SL Malinga
4,Mumbai Indians,V Sehwag,19,16,2,1,118.75,run out (SR Tendulkar)
4,Mumbai Indians,UBT Chand,0,2,0,0,0.0,b SL Malinga
4,Mumbai Indians,AJ Finch,8,12,1,0,66.67,c AT Rayudu b Harbhajan Singh
4,Mumbai Indians,NV Ojha,29,30,2,1,96.67,c SL Malinga b AG Murtaza
4,Mumbai Indians,Y Venugopal Rao,26,25,3,0,104.0,b SL Malinga
4,Mumbai Indians,IK Pathan,0,1,0,0,0.0,"run out (R Sathish, DJ Jacobs)"
4,Mumbai Indians,RE van der Merwe,8,6,1,0,133.33,not out
4,Mumbai Indians,M Morkel,0,2,0,0,0.0,b SL Malinga
4,Mumbai Indians,UT Yadav,0,4,0,0,0.0,st DJ Jacobs b Harbhajan Singh
4,Mumbai Indians,AB Dinda,0,5,0,0,0.0,c JEC Franklin b SL Malinga
7,Rajasthan Royals,DA Warner,54,44,6,1,122.73,c AS Raut b A Singh
7,Rajasthan Royals,V Sehwag,4,2,1,0,200.0,c R Dravid b SW Tait
7,Rajasthan Royals,AJ Finch,11,14,1,1,78.57,c J Botha b SW Tait
7,Rajasthan Royals,UBT Chand,2,10,0,0,20.0,c R Dravid b SK Warne
7,Rajasthan Royals,NV Ojha,0,2,0,0,0.0,c SW Tait b SK Warne
7,Rajasthan Royals,Y Venugopal Rao,60,40,4,4,150.0,c SK Warne b SK Trivedi
7,Rajasthan Royals,IK Pathan,9,6,2,0,150.0,not out
7,Rajasthan Royals,RE van der Merwe,2,3,0,0,66.67,not out
16,Pune Warriors,DA Warner,46,28,6,2,164.29,"run out (SB Wagh, RV Uthappa)"
16,Pune Warriors,V Sehwag,37,23,6,0,160.87,b JD Ryder
16,Pune Warriors,IK Pathan,14,16,1,0,87.5,c SB Wagh b Yuvraj Singh
16,Pune Warriors,NV Ojha,11,9,0,1,122.22,st RV Uthappa b Yuvraj Singh
16,Pune Warriors,MS Wade,3,4,0,0,75.0,lbw b R Sharma
16,Pune Warriors,Y Venugopal Rao,31,20,1,3,155.0,c AA Jhunjhunwala b Yuvraj Singh
16,Pune Warriors,AJ Finch,25,12,1,2,208.33,c & b Yuvraj Singh
16,Pune Warriors,JR Hopes,13,4,1,1,325.0,not out
19,Deccan Chargers,DA Warner,51,48,5,1,106.25,c DB Ravi Teja b S Dhawan
19,Deccan Chargers,V Sehwag,12,7,3,0,171.43,c DT Christian b Harmeet Singh
19,Deccan Chargers,NV Ojha,2,4,0,0,50.0,lbw b DT Christian
19,Deccan Chargers,AJ Finch,0,1,0,0,0.0,c KC Sangakkara b Harmeet Singh
19,Deccan Chargers,Y Venugopal Rao,21,23,3,0,91.3,c DT Christian b A Mishra
19,Deccan Chargers,IK Pathan,5,9,0,0,55.56,c B Chipli b PP Ojha
19,Deccan Chargers,JR Hopes,17,14,0,1,121.43,not out
19,Deccan Chargers,Y Nagar,23,11,1,2,209.09,b DT Christian
19,Deccan Chargers,M Morkel,8,3,0,1,266.67,not out
26,Kings XI Punjab,DA Warner,77,48,7,4,160.42,c RJ Harris b P Kumar
26,Kings XI Punjab,V Sehwag,77,35,8,4,220.0,c KD Karthik b DJ Hussey
26,Kings XI Punjab,Y Nagar,11,9,1,1,122.22,c RJ Harris b AM Nayar
26,Kings XI Punjab,Y Venugopal Rao,28,15,3,1,186.67,not out
26,Kings XI Punjab,AJ Finch,3,5,0,0,60.0,c KD Karthik b PP Chawla
26,Kings XI Punjab,NV Ojha,19,8,1,2,237.5,not out
30,Royal Challengers Bangalore,DA Warner,7,11,1,0,63.64,b Z Khan
30,Royal Challengers Bangalore,V Sehwag,25,18,3,0,138.89,"run out (A Mithun, AB de Villiers)"
30,Royal Challengers Bangalore,JR Hopes,54,43,7,0,125.58,c AB de Villiers b A Mithun
30,Royal Challengers Bangalore,MS Wade,8,9,0,0,88.89,b A Mithun
30,Royal Challengers Bangalore,Y Venugopal Rao,24,21,2,1,114.29,b DL Vettori
