innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,V Suryavanshi,81,9.4
1,Rajasthan Royals,2,Dhruv Jurel,97,11.3
1,Rajasthan Royals,3,YBK Jaiswal,99,12.2
1,Rajasthan Royals,4,R Parag,117,15.4
1,Rajasthan Royals,5,D Ferreira,124,16.6
1,Rajasthan Royals,6,RA Jadeja,144,19.1
1,Rajasthan Royals,7,SO Hetmyer,146,19.3
1,Rajasthan Royals,8,Ravi Bishnoi,146,19.5
1,Rajasthan Royals,9,JC Archer,155,20.6
2,Kolkata Knight Riders,1,TL Seifert,0,1.1
2,Kolkata Knight Riders,2,AM Rahane,5,2.2
2,Kolkata Knight Riders,3,C Green,37,5.3
2,Kolkata Knight Riders,4,A Raghuvanshi,52,7.6
2,Kolkata Knight Riders,5,R Powell,70,11.1
2,Kolkata Knight Riders,6,Ramandeep Singh,85,14.3
