match_number,date,opponent,venue,result,margin
3,2025-03-23,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 4 wickets
8,2025-03-28,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 50 runs
11,2025-03-30,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",lost,by 6 runs
17,2025-04-05,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 25 runs
22,2025-04-08,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 18 runs
25,2025-04-11,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 8 wickets
30,2025-04-14,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 5 wickets
38,2025-04-20,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 9 wickets
43,2025-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 5 wickets
49,2025-04-30,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 4 wickets
52,2025-05-03,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 2 runs
57,2025-05-07,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 2 wickets
62,2025-05-20,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",lost,by 6 wickets
67,2025-05-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 83 runs
