match_number,date,opponent,catches,stumpings,run_outs
22,2020-10-08,Sunrisers Hyderabad,2,0,0
24,2020-10-10,Kolkata Knight Riders,1,0,0
38,2020-10-20,Delhi Capitals,1,0,0
