innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Mumbai Indians,death,34,4,30,6.8,2,10
1,Mumbai Indians,middle,76,1,54,8.44,9,15
1,Mumbai Indians,powerplay,21,1,36,3.5,1,18
2,Punjab Kings,death,68,0,37,11.03,10,12
2,Punjab Kings,middle,23,1,37,3.73,2,20
2,Punjab Kings,powerplay,41,0,32,7.69,6,16
