match_number,date,opponent,venue,result,margin
2,2016-04-10,Kolkata Knight Riders,Eden Gardens,lost,by 9 wickets
7,2016-04-15,Kings XI Punjab,Feroz Shah Kotla,won,by 8 wickets
11,2016-04-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 7 wickets
17,2016-04-23,Mumbai Indians,Feroz Shah Kotla,won,by 10 runs
23,2016-04-27,Gujarat Lions,Feroz Shah Kotla,lost,by 1 runs
26,2016-04-30,Kolkata Knight Riders,Feroz Shah Kotla,won,by 27 runs
31,2016-05-03,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 8 wickets
33,2016-05-05,Rising Pune Supergiants,Feroz Shah Kotla,lost,by 7 wickets
36,2016-05-07,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 9 runs
42,2016-05-12,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
47,2016-05-15,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 80 runs
49,2016-05-17,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 19 runs
52,2016-05-20,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,won,by 6 wickets
56,2016-05-22,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,lost,by 6 wickets
