match_number,date,opponent,venue,result,margin
4,2015-04-11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 45 runs
8,2015-04-13,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 8 wickets
11,2015-04-16,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 6 wickets
13,2015-04-18,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 4 runs
19,2015-04-22,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 16 runs
23,2015-04-25,Mumbai Indians,Wankhede Stadium,lost,by 20 runs
27,2015-04-27,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 20 runs
34,2015-05-02,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",won,by 22 runs
38,2015-05-04,Kolkata Knight Riders,Eden Gardens,lost,by 35 runs
41,2015-05-07,Rajasthan Royals,Brabourne Stadium,won,by 7 runs
45,2015-05-09,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,won,by 6 runs
48,2015-05-11,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",won,by 5 runs
52,2015-05-15,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",lost,by 6 wickets
56,2015-05-17,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",lost,by 9 wickets
