innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,20,3,Lucknow Super Giants,GJ Maxwell,MA Wood,A Nand Kishore,wicket,struck down,False
2,17,5,Royal Challengers Bangalore,A Badoni,Mohammed Siraj,A Nand Kishore,wicket,struck down,False
