match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2024-03-23,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,51,0,12.75,7,2,1
8,2024-03-27,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,53,0,13.25,6,0,0
12,2024-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,27,0,6.75,9,1,0
18,2024-04-05,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,28,1,7.0,11,0,0
23,2024-04-09,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,32,2,8.0,12,2,0
30,2024-04-15,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",4.0,0,60,0,15.0,5,4,0
35,2024-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",4.0,0,33,1,8.25,9,3,0
41,2024-04-25,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1.0,0,14,0,14.0,1,0,0
46,2024-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",4.0,0,38,1,9.5,6,0,0
50,2024-05-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,41,3,10.25,8,0,0
55,2024-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",4.0,0,22,1,5.5,14,1,0
57,2024-05-08,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,12,2,3.0,11,0,0
69,2024-05-19,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,36,0,9.0,7,0,0
70,2024-05-21,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",3.0,0,28,0,9.33,8,0,0
72,2024-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",3.0,0,33,0,11.0,7,0,0
73,2024-05-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,0,25,0,12.5,5,1,0
