match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2023-04-02,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",4,7,0,0,57.14,b KV Sharma,7
12,2023-04-08,Chennai Super Kings,"Wankhede Stadium, Mumbai",31,22,1,2,140.91,c AM Rahane b TU Deshpande,7
16,2023-04-11,Delhi Capitals,"Arun Jaitley Stadium, Delhi",13,11,0,1,118.18,not out,5
22,2023-04-16,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",24,13,1,2,184.62,not out,5
25,2023-04-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16,11,2,0,145.45,"run out (T Natarajan, Abhishek Sharma)",6
31,2023-04-22,Punjab Kings,"Wankhede Stadium, Mumbai",25,13,0,2,192.31,not out,5
35,2023-04-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,2,0,0,0.0,c A Manohar b Noor Ahmad,6
42,2023-04-30,Rajasthan Royals,"Wankhede Stadium, Mumbai",45,14,2,5,321.43,not out,6
46,2023-05-03,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",19,10,3,0,190.0,not out,5
49,2023-05-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2,4,0,0,50.0,c RD Gaikwad b TU Deshpande,7
54,2023-05-09,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",0,1,0,0,0.0,c GJ Maxwell b Vijaykumar Vyshak,5
57,2023-05-12,Gujarat Titans,"Wankhede Stadium, Mumbai",5,3,1,0,166.67,c & b Rashid Khan,6
63,2023-05-16,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",32,19,1,3,168.42,not out,5
72,2023-05-24,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",13,13,1,0,100.0,c DJ Hooda b Yash Thakur,6
73,2023-05-26,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2,3,0,0,66.67,lbw b Rashid Khan,7
