match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2017-04-05,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",52,37,3,2,140.54,c Sachin Baby b YS Chahal,3
6,2017-04-09,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",52,39,6,0,133.33,not out,3
14,2017-04-15,Kolkata Knight Riders,Eden Gardens,13,10,2,0,130.0,c & b CR Woakes,3
19,2017-04-17,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",9,16,0,0,56.25,st WP Saha b AR Patel,3
21,2017-04-19,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",12,6,2,0,200.0,not out,5
24,2017-04-22,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,55,28,6,2,196.43,not out,4
33,2017-04-28,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,6,0,0,116.67,not out,5
40,2017-05-02,Delhi Daredevils,Feroz Shah Kotla,25,18,2,0,138.89,not out,5
44,2017-05-06,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",4,6,0,0,66.67,b Imran Tahir,5
48,2017-05-08,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",44,35,6,0,125.71,c RG Sharma b JJ Bumrah,3
53,2017-05-13,Gujarat Lions,Green Park,4,2,1,0,200.0,c KD Karthik b P Kumar,3
