match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
26,2009-05-02,Chennai Super Kings,New Wanderers Stadium,2,7,0,0,28.57,c L Balaji b JA Morkel,7
43,2009-05-13,Deccan Chargers,Kingsmead,0,1,0,0,0.0,c Shoaib Ahmed b PP Ojha,7
46,2009-05-15,Kings XI Punjab,OUTsurance Oval,0,1,0,0,0.0,c PP Chawla b B Lee,9
55,2009-05-21,Mumbai Indians,SuperSport Park,2,7,0,0,28.57,b Harbhajan Singh,5
57,2009-05-22,Deccan Chargers,SuperSport Park,4,2,1,0,200.0,c Y Venugopal Rao b RP Singh,7
