match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
1,2015-04-08,Mumbai Indians,Eden Gardens,3.0,0,21,0,7.0,7,0,0
5,2015-04-11,Royal Challengers Bangalore,Eden Gardens,2.0,0,16,0,8.0,5,0,0
14,2015-04-18,Kings XI Punjab,Maharashtra Cricket Association Stadium,4.0,0,39,2,9.75,7,2,0
17,2015-04-20,Delhi Daredevils,Feroz Shah Kotla,3.0,0,21,0,7.0,8,0,0
19,2015-04-22,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.0,0,6,1,6.0,4,0,0
28,2015-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,26,2,6.5,11,4,0
30,2015-04-30,Chennai Super Kings,Eden Gardens,4.0,0,20,2,5.0,9,0,0
33,2015-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,1.4,0,22,1,13.2,1,1,0
38,2015-05-04,Sunrisers Hyderabad,Eden Gardens,2.0,0,10,1,5.0,8,0,0
42,2015-05-07,Delhi Daredevils,Eden Gardens,4.0,0,24,1,6.0,13,1,0
44,2015-05-09,Kings XI Punjab,Eden Gardens,4.0,0,50,1,12.5,6,1,0
51,2015-05-14,Mumbai Indians,Wankhede Stadium,4.0,0,37,0,9.25,7,0,1
54,2015-05-16,Rajasthan Royals,Brabourne Stadium,4.0,0,32,3,8.0,8,0,0
