innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,7,1,Delhi Capitals,RR Pant,Washington Sundar,VK Sharma,,upheld,False
2,9,4,Royal Challengers Bangalore,MP Stoinis,YS Chahal,VK Sharma,,struck down,True
