match_number,date,opponent,venue,result,margin
3,2021-04-11,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 10 runs
6,2021-04-14,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 6 runs
9,2021-04-17,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 13 runs
14,2021-04-21,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 9 wickets
20,2021-04-25,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",no result,
23,2021-04-28,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",lost,by 7 wickets
28,2021-05-02,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",lost,by 55 runs
33,2021-09-22,Delhi Capitals,Dubai International Cricket Stadium,lost,by 8 wickets
37,2021-09-25,Punjab Kings,Sharjah Cricket Stadium,lost,by 5 runs
40,2021-09-27,Rajasthan Royals,Dubai International Cricket Stadium,won,by 7 wickets
44,2021-09-30,Chennai Super Kings,Sharjah Cricket Stadium,lost,by 6 wickets
49,2021-10-03,Kolkata Knight Riders,Dubai International Cricket Stadium,lost,by 6 wickets
52,2021-10-06,Royal Challengers Bangalore,"Zayed Cricket Stadium, Abu Dhabi",won,by 4 runs
55,2021-10-08,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",lost,by 42 runs
