innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Sunrisers Hyderabad,1,Abhishek Sharma,17,8,TM Head,26,16,2,45,24
1,Sunrisers Hyderabad,2,Abhishek Sharma,39,14,Ishan Kishan,11,12,2,52,26
1,Sunrisers Hyderabad,3,H Klaasen,51,24,Ishan Kishan,55,24,7,113,48
1,Sunrisers Hyderabad,4,Nithish Kumar Reddy,29,12,Ishan Kishan,13,10,3,45,22
1,Sunrisers Hyderabad,5,Nithish Kumar Reddy,29,12,Ishan Kishan,13,10,3,45,22
2,Royal Challengers Bengaluru,1,VR Iyer,44,19,V Kohli,14,8,2,60,27
2,Royal Challengers Bengaluru,2,D Padikkal,13,5,V Kohli,1,3,0,14,8
2,Royal Challengers Bengaluru,3,RM Patidar,12,9,D Padikkal,8,9,0,20,18
2,Royal Challengers Bengaluru,4,KH Pandya,34,28,RM Patidar,44,30,6,84,57
2,Royal Challengers Bengaluru,5,TH David,15,7,KH Pandya,7,3,0,22,10
