match_number,date,opponent,venue,result,margin
3,2024-03-23,Sunrisers Hyderabad,"Eden Gardens, Kolkata",won,by 4 runs
10,2024-03-29,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 7 wickets
16,2024-04-03,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",won,by 106 runs
22,2024-04-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 7 wickets
28,2024-04-14,Lucknow Super Giants,"Eden Gardens, Kolkata",won,by 8 wickets
31,2024-04-16,Rajasthan Royals,"Eden Gardens, Kolkata",lost,by 2 wickets
36,2024-04-21,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",won,by 1 runs
42,2024-04-26,Punjab Kings,"Eden Gardens, Kolkata",lost,by 8 wickets
47,2024-04-29,Delhi Capitals,"Eden Gardens, Kolkata",won,by 7 wickets
51,2024-05-03,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 24 runs
54,2024-05-05,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 98 runs
60,2024-05-11,Mumbai Indians,"Eden Gardens, Kolkata",won,by 18 runs
70,2024-05-21,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",won,by 8 wickets
73,2024-05-26,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 8 wickets
