match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
14,2020-10-02,Sunrisers Hyderabad,Dubai International Cricket Stadium,4.0,0,28,0,7.0,6,2,0
18,2020-10-04,Kings XI Punjab,Dubai International Cricket Stadium,4.0,0,38,0,9.5,7,2,0
21,2020-10-07,Kolkata Knight Riders,Sheikh Zayed Stadium,4.0,0,37,3,9.25,8,2,0
25,2020-10-10,Royal Challengers Bangalore,Dubai International Cricket Stadium,3.0,0,29,0,9.67,2,2,0
29,2020-10-13,Sunrisers Hyderabad,Dubai International Cricket Stadium,3.0,0,25,2,8.33,8,0,0
34,2020-10-17,Delhi Capitals,Sharjah Cricket Stadium,3.0,0,23,1,7.67,4,1,0
