match_number,date,opponent,catches,stumpings,run_outs
1,2023-03-31,Gujarat Titans,1,0,0
6,2023-04-03,Lucknow Super Giants,1,0,0
12,2023-04-08,Mumbai Indians,1,0,0
24,2023-04-17,Royal Challengers Bangalore,2,0,0
29,2023-04-21,Sunrisers Hyderabad,2,0,0
33,2023-04-23,Kolkata Knight Riders,1,0,0
37,2023-04-27,Rajasthan Royals,1,0,0
41,2023-04-30,Punjab Kings,1,0,0
45,2023-05-03,Lucknow Super Giants,1,0,0
49,2023-05-06,Mumbai Indians,2,0,0
67,2023-05-20,Delhi Capitals,2,0,0
71,2023-05-23,Gujarat Titans,1,0,0
74,2023-05-29,Gujarat Titans,1,0,0
