innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,RD Gaikwad,28,3.3
1,Chennai Super Kings,2,RV Uthappa,84,8.3
1,Chennai Super Kings,3,MM Ali,106,11.1
1,Chennai Super Kings,4,AT Rayudu,166,17.2
1,Chennai Super Kings,5,S Dube,189,19.2
1,Chennai Super Kings,6,RA Jadeja,203,20.2
1,Chennai Super Kings,7,D Pretorius,203,20.3
2,Lucknow Super Giants,1,KL Rahul,99,11.2
2,Lucknow Super Giants,2,MK Pandey,106,12.2
2,Lucknow Super Giants,3,Q de Kock,139,15.4
2,Lucknow Super Giants,4,DJ Hooda,171,18.2
