innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,WP Saha,31,4.1
1,Sunrisers Hyderabad,2,MJ Guptill,56,7.3
1,Sunrisers Hyderabad,3,MK Pandey,90,14.3
1,Sunrisers Hyderabad,4,KS Williamson,111,16.5
1,Sunrisers Hyderabad,5,V Shankar,147,19.3
1,Sunrisers Hyderabad,6,Mohammad Nabi,160,20.4
1,Sunrisers Hyderabad,7,DJ Hooda,161,20.4
1,Sunrisers Hyderabad,8,Rashid Khan,161,20.5
2,Delhi Capitals,1,S Dhawan,66,8.3
2,Delhi Capitals,2,SS Iyer,84,11.2
2,Delhi Capitals,3,PP Shaw,87,11.6
2,Delhi Capitals,4,C Munro,111,15.1
2,Delhi Capitals,5,AR Patel,111,15.4
2,Delhi Capitals,6,SE Rutherford,151,19.1
2,Delhi Capitals,7,RR Pant,158,19.5
2,Delhi Capitals,8,A Mishra,161,20.4
