player,team,role,matches
A Ashish Reddy,Deccan Chargers,all-rounder,9
A Chandila,Rajasthan Royals,all-rounder,4
A Mishra,Deccan Chargers,all-rounder,14
A Mithun,Royal Challengers Bangalore,bowler,1
A Nehra,Pune Warriors,all-rounder,13
A Singh,Rajasthan Royals,all-rounder,9
AA Chavan,Rajasthan Royals,all-rounder,8
AA Jhunjhunwala,Deccan Chargers,all-rounder,4
AB Agarkar,Delhi Daredevils,bowler,4
AB Dinda,Pune Warriors,all-rounder,7
AB McDonald,Royal Challengers Bangalore,all-rounder,3
AB de Villiers,Royal Challengers Bangalore,batter,13
AC Blizzard,Mumbai Indians,batter,1
AC Gilchrist,Kings XI Punjab,batter,7
AC Thomas,Pune Warriors,all-rounder,4
AD Mascarenhas,Kings XI Punjab,all-rounder,4
AD Mathews,Pune Warriors,all-rounder,9
AD Russell,Delhi Daredevils,all-rounder,4
AG Murtaza,Pune Warriors,all-rounder,1
AJ Finch,Delhi Daredevils,batter,2
AL Menaria,Rajasthan Royals,all-rounder,12
AM Nayar,Kings XI Punjab,all-rounder,4
AM Rahane,Rajasthan Royals,batter,16
AN Ahmed,Mumbai Indians,bowler,1
AP Majumdar,Pune Warriors,batter,4
AT Rayudu,Mumbai Indians,batter,15
AUK Pathan,Royal Challengers Bangalore,all-rounder,2
Anand Rajan,Deccan Chargers,bowler,4
Ankit Sharma,Deccan Chargers,all-rounder,9
Azhar Mahmood,Kings XI Punjab,all-rounder,11
B Chipli,Deccan Chargers,batter,4
B Kumar,Pune Warriors,all-rounder,11
B Lee,Kolkata Knight Riders,all-rounder,10
BA Bhatt,Kings XI Punjab,all-rounder,5
BB McCullum,Kolkata Knight Riders,batter,12
BB Samantray,Deccan Chargers,batter,1
BJ Hodge,Rajasthan Royals,all-rounder,12
BW Hilfenhaus,Chennai Super Kings,bowler,9
Bipul Sharma,Kings XI Punjab,all-rounder,4
CA Lynn,Deccan Chargers,batter,1
CA Pujara,Royal Challengers Bangalore,batter,3
CH Gayle,Royal Challengers Bangalore,all-rounder,14
CJ Ferguson,Pune Warriors,batter,4
CJ McKay,Mumbai Indians,all-rounder,2
CL White,Deccan Chargers,all-rounder,13
DA Miller,Kings XI Punjab,batter,6
DA Warner,Delhi Daredevils,batter,8
DAJ Bracewell,Delhi Daredevils,all-rounder,1
DB Das,Kolkata Knight Riders,batter,10
DB Ravi Teja,Deccan Chargers,batter,2
DE Bollinger,Chennai Super Kings,all-rounder,6
