position,team,played,won,lost,no_result,net_run_rate,points
1,Kolkata Knight Riders,17,12,5,0,0.564,24
2,Delhi Daredevils,18,11,7,0,0.234,22
3,Chennai Super Kings,18,10,8,0,0.419,20
4,Mumbai Indians,17,10,7,0,-0.208,20
5,Royal Challengers Bangalore,15,8,7,0,-0.022,16
6,Kings XI Punjab,16,8,8,0,-0.216,16
7,Rajasthan Royals,16,7,9,0,0.201,14
8,Deccan Chargers,15,4,11,0,-0.509,8
9,Pune Warriors,16,4,12,0,-0.551,8
