cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
548306,1,2012-04-04,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,8,RE Levi,112/10,115/2,19.5,16.5,,20,league,JD Cloete,SJA Taufel,S Ravi,RS Madugalle
548307,2,2012-04-05,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,8,IK Pathan,97/9,100/2,12.0,11.1,,12,league,S Asnani,HDPK Dharmasena,S Das,GF Labrooy
548308,3,2012-04-06,Wankhede Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,,28,0,SPD Smith,129/9,101/9,20.0,20.0,,20,league,AK Chaudhary,SJA Taufel,JD Cloete,RR Jadeja
548309,4,2012-04-06,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,,31,0,AM Rahane,191/4,160/9,20.0,20.0,,20,league,BF Bowden,SK Tarapore,VA Kulkarni,RS Madugalle
548310,5,2012-04-07,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,,20,0,AB de Villiers,157/8,137/7,20.0,20.0,,20,league,S Asnani,S Ravi,S Das,Raju Mukherjee
548311,6,2012-04-07,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings,,74,0,RA Jadeja,193/6,119/10,20.0,17.1,,20,league,JD Cloete,HDPK Dharmasena,AK Chaudhary,GF Labrooy
548312,7,2012-04-08,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,,22,0,BJ Hodge,164/5,142/10,20.0,20.0,,20,league,BF Bowden,VA Kulkarni,SK Tarapore,RS Madugalle
548313,8,2012-04-08,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors,,22,0,MN Samuels,166/6,144/8,20.0,20.0,,20,league,S Das,SJA Taufel,S Asnani,RR Jadeja
548314,9,2012-04-09,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,,0,5,RG Sharma,138/9,142/5,20.0,20.0,,20,league,AK Chaudhary,JD Cloete,HDPK Dharmasena,GF Labrooy
548315,10,2012-04-10,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,,42,0,L Balaji,165/8,123/9,20.0,20.0,,20,league,S Ravi,RJ Tucker,S Asnani,Raju Mukherjee
548316,11,2012-04-10,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,8,M Morkel,110/8,111/2,20.0,13.2,,20,league,Asad Rauf,SK Tarapore,VA Kulkarni,RS Madugalle
548317,12,2012-04-11,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,,27,0,KA Pollard,197/6,170/10,20.0,19.4,,20,league,Aleem Dar,BNJ Oxenford,S Das,J Srinath
548318,13,2012-04-12,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,,0,5,F du Plessis,205/8,208/5,20.0,20.0,,20,league,HDPK Dharmasena,RJ Tucker,S Ravi,Raju Mukherjee
548319,14,2012-04-12,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,0,7,AD Mascarenhas,115/10,116/3,19.0,17.4,,20,league,VA Kulkarni,SK Tarapore,BF Bowden,RS Madugalle
548320,15,2012-04-13,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,,0,5,Shakib Al Hasan,131/5,137/5,20.0,19.2,,20,league,Asad Rauf,S Asnani,S Das,GF Labrooy
548322,16,2012-04-14,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,,0,7,JD Ryder,155/5,156/3,20.0,19.2,,20,league,Aleem Dar,BNJ Oxenford,AK Chaudhary,RR Jadeja
548323,17,2012-04-15,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,,2,0,SP Narine,134/9,132/7,20.0,20.0,,20,league,Asad Rauf,S Asnani,S Das,GF Labrooy
548324,18,2012-04-15,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,,59,0,AM Rahane,195/2,136/10,20.0,19.5,,20,league,JD Cloete,RJ Tucker,S Ravi,Raju Mukherjee
548325,19,2012-04-16,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,7,S Nadeem,92/10,93/3,19.2,14.5,,20,league,BF Bowden,SK Tarapore,VA Kulkarni,RS Madugalle
548326,20,2012-04-17,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,,0,5,BJ Hodge,196/2,197/5,20.0,19.4,,20,league,Aleem Dar,BNJ Oxenford,AK Chaudhary,RR Jadeja
548327,21,2012-04-17,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,,0,6,CH Gayle,182/6,186/4,20.0,20.0,,20,league,S Asnani,S Das,Asad Rauf,GF Labrooy
548328,22,2012-04-18,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,,0,8,G Gambhir,124/7,127/2,20.0,16.3,,20,league,JD Cloete,RJ Tucker,S Ravi,RS Mahanama
548321,23,2012-04-19,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,,0,5,KP Pietersen,157/8,162/5,20.0,19.1,,20,league,BF Bowden,SK Tarapore,VA Kulkarni,RS Madugalle
548330,24,2012-04-19,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,,13,0,KMDN Kulasekara,164/5,151/7,20.0,20.0,,20,league,Asad Rauf,S Das,S Asnani,GF Labrooy
548331,25,2012-04-20,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,5,CH Gayle,163/6,166/5,20.0,19.3,,20,league,S Ravi,RJ Tucker,JD Cloete,RS Mahanama
548332,26,2012-04-21,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,,0,7,F du Plessis,146/4,147/3,20.0,20.0,,20,league,Aleem Dar,BNJ Oxenford,AK Chaudhary,J Srinath
548333,27,2012-04-21,Feroz Shah Kotla,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors,,20,0,SC Ganguly,192/3,172/7,20.0,20.0,,20,league,Asad Rauf,S Das,S Asnani,GF Labrooy
548334,28,2012-04-22,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,,0,6,SE Marsh,163/6,164/4,20.0,19.3,,20,league,S Ravi,RJ Tucker,JD Cloete,Raju Mukherjee
