innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Rising Pune Supergiants,death,53,4,30,10.6,7,10
1,Rising Pune Supergiants,middle,78,1,54,8.67,9,15
1,Rising Pune Supergiants,powerplay,60,1,36,10.0,11,14
2,Royal Challengers Bangalore,death,94,1,41,13.76,15,8
2,Royal Challengers Bangalore,middle,55,2,41,8.05,6,9
2,Royal Challengers Bangalore,powerplay,46,0,35,7.89,4,11
