player,team,role,matches
A Mishra,Deccan Chargers,all-rounder,14
A Mithun,Royal Challengers Bangalore,all-rounder,12
A Mukund,Chennai Super Kings,batter,0
A Singh,Rajasthan Royals,all-rounder,9
A Symonds,Mumbai Indians,all-rounder,9
AA Chavan,Rajasthan Royals,all-rounder,2
AA Jhunjhunwala,Pune Warriors,all-rounder,3
AA Kazi,Royal Challengers Bangalore,bowler,1
AB Agarkar,Delhi Daredevils,all-rounder,7
AB Dinda,Delhi Daredevils,all-rounder,5
AB McDonald,Delhi Daredevils,all-rounder,1
AB de Villiers,Royal Challengers Bangalore,batter,13
AC Blizzard,Mumbai Indians,batter,6
AC Gilchrist,Kings XI Punjab,batter,14
AC Thomas,Pune Warriors,all-rounder,11
AG Murtaza,Mumbai Indians,all-rounder,5
AG Paunikar,Rajasthan Royals,batter,4
AJ Finch,Delhi Daredevils,all-rounder,6
AL Menaria,Rajasthan Royals,all-rounder,12
AM Nayar,Kings XI Punjab,all-rounder,9
AM Rahane,Rajasthan Royals,batter,7
AM Salvi,Delhi Daredevils,bowler,2
AN Ahmed,Mumbai Indians,all-rounder,6
AS Raut,Rajasthan Royals,all-rounder,4
AT Rayudu,Mumbai Indians,batter,16
AUK Pathan,Royal Challengers Bangalore,all-rounder,5
Anand Rajan,Deccan Chargers,bowler,2
B Akhil,Kochi Tuskers Kerala,all-rounder,1
B Chipli,Deccan Chargers,all-rounder,13
B Kumar,Pune Warriors,all-rounder,4
B Lee,Kolkata Knight Riders,all-rounder,12
BA Bhatt,Kings XI Punjab,all-rounder,8
BB McCullum,Kochi Tuskers Kerala,batter,13
BJ Haddin,Kolkata Knight Riders,batter,1
BJ Hodge,Kochi Tuskers Kerala,all-rounder,14
Bipul Sharma,Kings XI Punjab,all-rounder,4
CA Ingram,Delhi Daredevils,batter,3
CA Pujara,Royal Challengers Bangalore,batter,3
CH Gayle,Royal Challengers Bangalore,all-rounder,12
CJ Ferguson,Pune Warriors,batter,4
CK Langeveldt,Royal Challengers Bangalore,all-rounder,3
CL White,Deccan Chargers,batter,6
DA Warner,Delhi Daredevils,batter,13
DB Ravi Teja,Deccan Chargers,all-rounder,9
DE Bollinger,Chennai Super Kings,all-rounder,13
DH Yagnik,Rajasthan Royals,batter,4
DJ Bravo,Chennai Super Kings,all-rounder,6
DJ Hussey,Kings XI Punjab,all-rounder,8
DJ Jacobs,Mumbai Indians,batter,6
DL Vettori,Royal Challengers Bangalore,all-rounder,13
DP Nannes,Royal Challengers Bangalore,bowler,2
DPMD Jayawardene,Kochi Tuskers Kerala,batter,13
DS Kulkarni,Mumbai Indians,all-rounder,6
DT Christian,Deccan Chargers,all-rounder,14
DW Steyn,Deccan Chargers,all-rounder,12
EJG Morgan,Kolkata Knight Riders,batter,9
F du Plessis,Chennai Super Kings,batter,0
FY Fazal,Rajasthan Royals,batter,2
G Gambhir,Kolkata Knight Riders,batter,15
GC Smith,Pune Warriors,batter,4
Harbhajan Singh,Mumbai Indians,all-rounder,15
Harmeet Singh,Deccan Chargers,bowler,2
Harpreet Singh,Pune Warriors,batter,2
I Malhotra,Deccan Chargers,all-rounder,1
I Sharma,Deccan Chargers,all-rounder,12
IK Pathan,Delhi Daredevils,all-rounder,13
IR Jaggi,Deccan Chargers,batter,2
Iqbal Abdulla,Kolkata Knight Riders,all-rounder,15
J Botha,Rajasthan Royals,all-rounder,10
J Syed Mohammad,Royal Challengers Bangalore,all-rounder,5
JA Morkel,Chennai Super Kings,all-rounder,15
JD Ryder,Pune Warriors,all-rounder,13
JD Unadkat,Kolkata Knight Riders,bowler,6
JDP Oram,Rajasthan Royals,all-rounder,2
JE Taylor,Pune Warriors,all-rounder,5
JEC Franklin,Mumbai Indians,all-rounder,7
JH Kallis,Kolkata Knight Riders,all-rounder,15
JJ van der Wath,Royal Challengers Bangalore,all-rounder,3
JP Duminy,Deccan Chargers,all-rounder,10
JP Faulkner,Pune Warriors,bowler,1
JR Hopes,Delhi Daredevils,all-rounder,9
Joginder Sharma,Chennai Super Kings,all-rounder,1
KA Pollard,Mumbai Indians,all-rounder,16
KB Arun Karthik,Royal Challengers Bangalore,batter,2
KC Sangakkara,Deccan Chargers,batter,13
KD Karthik,Kings XI Punjab,batter,13
KH Devdhar,Deccan Chargers,batter,0
KM Jadhav,Kochi Tuskers Kerala,batter,4
KMDN Kulasekara,Chennai Super Kings,bowler,1
Kamran Khan,Pune Warriors,bowler,1
L Ablish,Kings XI Punjab,all-rounder,1
L Balaji,Kolkata Knight Riders,all-rounder,14
LA Pomersbach,Royal Challengers Bangalore,batter,4
LR Shukla,Kolkata Knight Riders,batter,1
LRPL Taylor,Rajasthan Royals,all-rounder,11
M Kaif,Royal Challengers Bangalore,batter,4
M Kartik,Pune Warriors,all-rounder,6
M Klinger,Kochi Tuskers Kerala,batter,4
M Manhas,Pune Warriors,all-rounder,10
M Morkel,Delhi Daredevils,all-rounder,11
M Muralitharan,Kochi Tuskers Kerala,all-rounder,5
M Vijay,Chennai Super Kings,batter,16
MA Agarwal,Royal Challengers Bangalore,batter,7
MD Mishra,Pune Warriors,batter,5
MEK Hussey,Chennai Super Kings,batter,14
MJ Lumb,Deccan Chargers,batter,1
MK Pandey,Pune Warriors,batter,9
MK Tiwary,Kolkata Knight Riders,all-rounder,14
MM Patel,Mumbai Indians,all-rounder,15
MR Marsh,Pune Warriors,all-rounder,5
MS Bisla,Kolkata Knight Riders,batter,5
MS Dhoni,Chennai Super Kings,batter,13
MS Gony,Deccan Chargers,all-rounder,3
MS Wade,Delhi Daredevils,batter,3
MV Boucher,Kolkata Knight Riders,batter,2
Mandeep Singh,Kings XI Punjab,batter,5
ND Doshi,Rajasthan Royals,all-rounder,3
NJ Rimmington,Kings XI Punjab,all-rounder,1
NL McCullum,Pune Warriors,all-rounder,2
NLTC Perera,Kochi Tuskers Kerala,all-rounder,4
NV Ojha,Delhi Daredevils,batter,14
OA Shah,Kochi Tuskers Kerala,batter,2
P Kumar,Kings XI Punjab,all-rounder,13
P Parameswaran,Kochi Tuskers Kerala,all-rounder,5
P Prasanth,Kochi Tuskers Kerala,bowler,1
PA Patel,Kochi Tuskers Kerala,batter,13
PC Valthaty,Kings XI Punjab,all-rounder,14
PP Chawla,Kings XI Punjab,all-rounder,12
PP Ojha,Deccan Chargers,bowler,10
PR Shah,Rajasthan Royals,batter,1
Pankaj Singh,Rajasthan Royals,bowler,1
R Ashwin,Chennai Super Kings,all-rounder,16
R Bhatia,Kolkata Knight Riders,all-rounder,13
R Dravid,Rajasthan Royals,batter,12
R McLaren,Kings XI Punjab,all-rounder,6
R Ninan,Royal Challengers Bangalore,all-rounder,2
R Sathish,Mumbai Indians,all-rounder,5
R Sharma,Pune Warriors,all-rounder,14
R Vinay Kumar,Kochi Tuskers Kerala,all-rounder,13
RA Jadeja,Kochi Tuskers Kerala,all-rounder,14
RE van der Merwe,Delhi Daredevils,all-rounder,4
RG Sharma,Mumbai Indians,all-rounder,14
RJ Harris,Kings XI Punjab,all-rounder,13
RN ten Doeschate,Kolkata Knight Riders,all-rounder,4
RP Singh,Kochi Tuskers Kerala,all-rounder,14
RR Powar,Kochi Tuskers Kerala,all-rounder,5
RV Gomez,Kochi Tuskers Kerala,all-rounder,11
RV Uthappa,Pune Warriors,batter,13
RW Price,Mumbai Indians,bowler,1
S Anirudha,Chennai Super Kings,batter,5
S Aravind,Royal Challengers Bangalore,all-rounder,13
S Badrinath,Chennai Super Kings,batter,12
S Dhawan,Deccan Chargers,all-rounder,14
S Ladda,Kolkata Knight Riders,bowler,2
S Nadeem,Delhi Daredevils,all-rounder,5
S Rana,Pune Warriors,all-rounder,1
S Randiv,Chennai Super Kings,all-rounder,8
S Sohal,Deccan Chargers,batter,10
S Sreesanth,Kochi Tuskers Kerala,all-rounder,9
S Sriram,Delhi Daredevils,all-rounder,1
SA Asnodkar,Rajasthan Royals,batter,1
SB Jakati,Chennai Super Kings,bowler,14
SB Styris,Chennai Super Kings,all-rounder,2
SB Wagh,Pune Warriors,all-rounder,7
SC Ganguly,Pune Warriors,batter,3
SD Chitnis,Kings XI Punjab,batter,1
SE Marsh,Kings XI Punjab,batter,13
SJ Srivastava,Kings XI Punjab,all-rounder,6
SK Raina,Chennai Super Kings,all-rounder,16
SK Trivedi,Rajasthan Royals,all-rounder,12
SK Warne,Rajasthan Royals,all-rounder,13
SL Malinga,Mumbai Indians,all-rounder,16
SP Goswami,Kolkata Knight Riders,batter,4
SR Tendulkar,Mumbai Indians,batter,16
SR Watson,Rajasthan Royals,all-rounder,11
SS Mundhe,Pune Warriors,bowler,1
SS Tiwary,Royal Challengers Bangalore,batter,13
STR Binny,Rajasthan Royals,all-rounder,3
SW Tait,Rajasthan Royals,all-rounder,4
Shakib Al Hasan,Kolkata Knight Riders,all-rounder,7
Sunny Singh,Kings XI Punjab,batter,5
TD Paine,Pune Warriors,batter,2
TG Southee,Chennai Super Kings,bowler,5
TL Suman,Mumbai Indians,all-rounder,7
TM Dilshan,Royal Challengers Bangalore,all-rounder,10
TR Birt,Delhi Daredevils,batter,5
UBT Chand,Delhi Daredevils,batter,2
UT Yadav,Delhi Daredevils,all-rounder,6
V Kohli,Royal Challengers Bangalore,all-rounder,16
V Sehwag,Delhi Daredevils,batter,11
VR Aaron,Delhi Daredevils,all-rounder,3
VS Malik,Kings XI Punjab,bowler,1
VVS Laxman,Kochi Tuskers Kerala,batter,3
WD Parnell,Pune Warriors,all-rounder,8
WP Saha,Chennai Super Kings,batter,2
Y Gnaneswara Rao,Kochi Tuskers Kerala,all-rounder,2
Y Nagar,Delhi Daredevils,all-rounder,10
Y Venugopal Rao,Delhi Daredevils,all-rounder,14
YK Pathan,Kolkata Knight Riders,all-rounder,15
Yuvraj Singh,Pune Warriors,all-rounder,14
Z Khan,Royal Challengers Bangalore,all-rounder,15
