position,team,played,won,lost,no_result,net_run_rate,points
1,Chennai Super Kings,16,11,5,0,0.52,22
2,Royal Challengers Bangalore,16,10,6,0,0.245,20
3,Mumbai Indians,16,10,6,0,-0.085,20
4,Kolkata Knight Riders,15,8,7,0,0.362,16
5,Kings XI Punjab,14,7,7,0,-0.046,14
6,Deccan Chargers,14,6,8,0,0.222,12
7,Kochi Tuskers Kerala,14,6,8,0,-0.203,12
8,Rajasthan Royals,13,6,7,0,-0.691,12
9,Pune Warriors,14,4,9,1,-0.138,9
10,Delhi Daredevils,14,4,9,1,-0.448,9
