player,cricsheet_id
A Mishra,6b19d823
A Mithun,66cf56a5
A Mukund,6165bca6
A Singh,5b040b81
A Symonds,bd77eb62
AA Chavan,29d72eb2
AA Jhunjhunwala,2815fe50
AA Kazi,16605a1b
AB Agarkar,fa463154
AB Dinda,66b30f71
AB McDonald,16043342
AB de Villiers,c4487b84
AC Blizzard,1efb8a28
AC Gilchrist,2b6e6dec
AC Thomas,b552a935
AG Murtaza,ef5da05c
AG Paunikar,3a02626a
AJ Finch,b8d490fd
AJ Pycroft,685d3f80
AK Chaudhary,fdcc6236
AL Hill,4165ced0
AL Menaria,8291f939
AM Nayar,a45a5e8d
AM Rahane,29e95537
AM Saheba,883e3818
AM Salvi,260fd380
AN Ahmed,2af1b6d2
AS Raut,c69a7b5c
AT Rayudu,70d205c9
AUK Pathan,3ae3f034
Aleem Dar,f02778d1
Anand Rajan,d2340a43
Asad Rauf,861606b7
B Akhil,af7dadf7
B Chipli,5451a2c1
B Kumar,2e81a32d
B Lee,dd09ff8e
BA Bhatt,dc4686e6
BB McCullum,b8a55852
BJ Haddin,b0c772ee
BJ Hodge,b57f8a9a
BR Doctrove,cbebf805
Bipul Sharma,c18496e1
C Shamshuddin,0f9d921b
CA Ingram,c995d726
CA Pujara,d4f9dbd4
CH Gayle,db584dad
CJ Ferguson,9b4935c8
CK Langeveldt,d1c94b25
CK Nandan,012de9c4
CL White,d0513f63
D Govindjee,8b4c4069
DA Warner,dcce6f09
DB Ravi Teja,b720a5d6
DE Bollinger,45c2196c
DH Yagnik,063b3673
DJ Bravo,87e562a9
DJ Hussey,fd835ab3
DJ Jacobs,a84468fe
DL Vettori,d7c6af50
DP Nannes,c404f58a
DPMD Jayawardene,d18f9182
DS Kulkarni,d2a989fc
DT Christian,2a2e6343
DW Steyn,8fd1a8f5
EJG Morgan,d2a6c0e6
F du Plessis,3355b542
FY Fazal,c15e2193
G Gambhir,bb345e0b
GC Smith,72861603
GF Labrooy,8e088dbc
HDPK Dharmasena,323e4c16
Harbhajan Singh,8b5b6769
Harmeet Singh,2a72fd4f
Harpreet Singh,28c78fb3
I Malhotra,943fd425
I Sharma,5bb1a1c4
IK Pathan,5fa06777
IR Jaggi,dded65e7
Iqbal Abdulla,85aae393
J Botha,7c503806
J Srinath,bad31fac
J Syed Mohammad,c64c2443
JA Morkel,c3d35165
JD Ryder,91ffa6c6
JD Unadkat,1e66c162
JDP Oram,3eac9d95
JE Taylor,4180d897
JEC Franklin,cf73ad76
JH Kallis,86dc8f2e
JJ van der Wath,6821ac10
JP Duminy,2e8994e7
JP Faulkner,808f425a
JR Hopes,2498e163
