innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,AC Gilchrist,21,4.3
1,Deccan Chargers,2,TL Suman,42,6.5
1,Deccan Chargers,3,RG Sharma,70,10.3
1,Deccan Chargers,4,A Symonds,83,12.3
1,Deccan Chargers,5,WPUJC Vaas,120,17.2
1,Deccan Chargers,6,Y Venugopal Rao,155,19.4
1,Deccan Chargers,7,DR Smith,164,20.5
2,Rajasthan Royals,1,GC Smith,5,2.1
2,Rajasthan Royals,2,LA Carseldine,19,4.5
2,Rajasthan Royals,3,NV Ojha,43,8.5
2,Rajasthan Royals,4,YK Pathan,74,12.2
2,Rajasthan Royals,5,SA Asnodkar,83,14.1
2,Rajasthan Royals,6,AS Raut,85,14.4
2,Rajasthan Royals,7,M Morkel,96,16.2
2,Rajasthan Royals,8,SK Warne,97,16.4
2,Rajasthan Royals,9,SK Trivedi,98,17.3
2,Rajasthan Royals,10,MM Patel,113,20.3
