match_number,date,opponent,venue,result,margin
5,2008-04-20,Royal Challengers Bangalore,Wankhede Stadium,lost,by 5 wickets
8,2008-04-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 6 runs
10,2008-04-25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 66 runs
14,2008-04-27,Deccan Chargers,Dr DY Patil Sports Academy,lost,by 10 wickets
16,2008-04-29,Kolkata Knight Riders,Eden Gardens,won,by 7 wickets
23,2008-05-04,Delhi Daredevils,Dr DY Patil Sports Academy,won,by 29 runs
27,2008-05-07,Rajasthan Royals,Dr DY Patil Sports Academy,won,by 7 wickets
36,2008-05-14,Chennai Super Kings,Wankhede Stadium,won,by 9 wickets
38,2008-05-16,Kolkata Knight Riders,Wankhede Stadium,won,by 8 wickets
42,2008-05-18,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 25 runs
45,2008-05-21,Kings XI Punjab,Wankhede Stadium,lost,by 1 runs
50,2008-05-24,Delhi Daredevils,Feroz Shah Kotla,lost,by 5 wickets
53,2008-05-26,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 5 wickets
55,2008-05-28,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 9 wickets
