match_number,date,opponent,venue,result,margin
4,2013-04-06,Delhi Daredevils,Feroz Shah Kotla,won,by 5 runs
8,2013-04-08,Kolkata Knight Riders,Sawai Mansingh Stadium,won,by 19 runs
13,2013-04-11,Pune Warriors,Subrata Roy Sahara Stadium,lost,by 7 wickets
18,2013-04-14,Kings XI Punjab,Sawai Mansingh Stadium,won,by 6 wickets
23,2013-04-17,Mumbai Indians,Sawai Mansingh Stadium,won,by 87 runs
27,2013-04-20,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 7 wickets
30,2013-04-22,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 5 wickets
36,2013-04-27,Sunrisers Hyderabad,Sawai Mansingh Stadium,won,by 8 wickets
40,2013-04-29,Royal Challengers Bangalore,Sawai Mansingh Stadium,won,by 4 wickets
47,2013-05-03,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
50,2013-05-05,Pune Warriors,Sawai Mansingh Stadium,won,by 5 wickets
52,2013-05-07,Delhi Daredevils,Sawai Mansingh Stadium,won,by 9 wickets
55,2013-05-09,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 8 wickets
61,2013-05-12,Chennai Super Kings,Sawai Mansingh Stadium,won,by 5 wickets
66,2013-05-15,Mumbai Indians,Wankhede Stadium,lost,by 14 runs
68,2013-05-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 23 runs
74,2013-05-22,Sunrisers Hyderabad,Feroz Shah Kotla,won,by 4 wickets
75,2013-05-24,Mumbai Indians,Eden Gardens,lost,by 4 wickets
