match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
14,2012-04-12,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",4.0,0,18,0,4.5,10,0,0
25,2012-04-20,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",4.0,0,34,4,8.5,14,1,1
28,2012-04-22,Mumbai Indians,Wankhede Stadium,4.0,0,23,2,5.75,11,4,0
33,2012-04-25,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",4.0,0,39,3,9.75,8,1,0
37,2012-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,34,0,8.5,5,1,0
44,2012-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,48,0,12.0,4,2,0
48,2012-05-05,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",4.0,0,34,0,8.5,6,2,0
53,2012-05-08,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,27,2,6.75,10,1,0
61,2012-05-13,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",4.0,0,41,1,10.25,6,1,0
64,2012-05-15,Delhi Daredevils,Feroz Shah Kotla,4.0,0,22,3,5.5,14,0,0
66,2012-05-17,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,4.0,0,12,2,3.0,15,0,0
69,2012-05-19,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,3.0,0,40,0,13.33,9,0,0
