innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Kings XI Punjab,SE Marsh,40,32,5,1,125.0,st WP Saha b DJ Hussey,1
1,Kings XI Punjab,JR Hopes,18,12,4,0,150.0,c BJ Hodge b AB Dinda,2
1,Kings XI Punjab,KC Sangakkara,28,21,5,0,133.33,b Umar Gul,3
1,Kings XI Punjab,Yuvraj Singh,17,10,2,1,170.0,st WP Saha b Mohammad Hafeez,4
1,Kings XI Punjab,DPMD Jayawardene,10,6,0,1,166.67,c SC Ganguly b Umar Gul,5
1,Kings XI Punjab,K Goel,6,7,1,0,85.71,"run out (DB Das, DJ Hussey)",6
1,Kings XI Punjab,IK Pathan,24,26,2,0,92.31,not out,7
1,Kings XI Punjab,PP Chawla,21,7,3,1,300.0,not out,8
2,Kolkata Knight Riders,Mohammad Hafeez,13,12,1,1,108.33,b IK Pathan,1
2,Kolkata Knight Riders,SC Ganguly,5,7,1,0,71.43,c IK Pathan b S Sreesanth,2
2,Kolkata Knight Riders,DB Das,5,8,1,0,62.5,c Yuvraj Singh b S Sreesanth,3
2,Kolkata Knight Riders,BJ Hodge,1,3,0,0,33.33,lbw b IK Pathan,4
2,Kolkata Knight Riders,DJ Hussey,71,46,4,4,154.35,c JR Hopes b Gagandeep Singh,5
2,Kolkata Knight Riders,LR Shukla,7,10,0,0,70.0,b VRV Singh,6
2,Kolkata Knight Riders,WP Saha,59,32,2,4,184.38,not out,7
2,Kolkata Knight Riders,AB Agarkar,1,2,0,0,50.0,not out,8
