innings,team,wicket_number,player_out,score,over
1,Kochi Tuskers Kerala,1,BB McCullum,93,9.4
1,Kochi Tuskers Kerala,2,RA Jadeja,122,14.1
1,Kochi Tuskers Kerala,3,BJ Hodge,129,15.5
1,Kochi Tuskers Kerala,4,OA Shah,165,19.1
1,Kochi Tuskers Kerala,5,PA Patel,165,19.2
1,Kochi Tuskers Kerala,6,RV Gomez,177,20.5
1,Kochi Tuskers Kerala,7,DPMD Jayawardene,178,20.6
2,Kings XI Punjab,1,PC Valthaty,25,3.5
2,Kings XI Punjab,2,AC Gilchrist,31,5.4
2,Kings XI Punjab,3,KD Karthik,142,15.1
2,Kings XI Punjab,4,SE Marsh,145,15.6
