innings,over,ball,team,player_in,player_out,reason
2,1,1,Kolkata Knight Riders,VG Arora,A Raghuvanshi,impact_player
2,1,1,Lucknow Super Giants,AA Kulkarni,Yash Thakur,impact_player
2,16,1,Lucknow Super Giants,Yudhvir Singh,Mohsin Khan,impact_player
