match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2014-04-18,Chennai Super Kings,Sheikh Zayed Stadium,17,10,2,0,170.0,not out,6
9,2014-04-22,Sunrisers Hyderabad,Sharjah Cricket Stadium,10,8,1,0,125.0,c DA Warner b B Kumar,5
15,2014-04-26,Kolkata Knight Riders,Sheikh Zayed Stadium,11,15,1,0,73.33,c M Morkel b PP Chawla,6
18,2014-04-28,Royal Challengers Bangalore,Dubai International Cricket Stadium,16,16,1,0,100.0,not out,6
22,2014-05-03,Mumbai Indians,Wankhede Stadium,15,14,2,0,107.14,c CJ Anderson b Harbhajan Singh,5
29,2014-05-07,Chennai Super Kings,Barabati Stadium,40,13,6,2,307.69,not out,5
31,2014-05-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,7,0,0,14.29,c PA Patel b JA Morkel,5
34,2014-05-11,Kolkata Knight Riders,Barabati Stadium,12,11,0,0,109.09,not out,6
39,2014-05-14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",35,19,2,3,184.21,not out,6
45,2014-05-19,Delhi Daredevils,Feroz Shah Kotla,6,7,0,0,85.71,c KM Jadhav b Imran Tahir,7
48,2014-05-21,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",39,30,2,2,130.0,c AT Rayudu b JJ Bumrah,5
52,2014-05-23,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",26,18,1,1,144.44,not out,6
55,2014-05-25,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",1,1,0,0,100.0,not out,5
57,2014-05-27,Kolkata Knight Riders,Eden Gardens,26,17,1,2,152.94,c MK Pandey b UT Yadav,7
59,2014-05-30,Chennai Super Kings,Wankhede Stadium,1,2,0,0,50.0,b A Nehra,5
60,2014-06-01,Kolkata Knight Riders,M Chinnaswamy Stadium,1,2,0,0,50.0,b SP Narine,3
