match_number,date,opponent,venue,result,margin
1,2023-03-31,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",won,by 5 wickets
7,2023-04-04,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 6 wickets
13,2023-04-09,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",lost,by 3 wickets
18,2023-04-13,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",won,by 6 wickets
23,2023-04-16,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",lost,by 3 wickets
30,2023-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 7 runs
35,2023-04-25,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",won,by 55 runs
39,2023-04-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 7 wickets
44,2023-05-02,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",lost,by 5 runs
48,2023-05-05,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 9 wickets
51,2023-05-07,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",won,by 56 runs
57,2023-05-12,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 27 runs
62,2023-05-15,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",won,by 34 runs
70,2023-05-21,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",won,by 6 wickets
71,2023-05-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 15 runs
73,2023-05-26,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",won,by 62 runs
74,2023-05-29,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 5 wickets
