match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
20,2008-05-02,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",28,16,3,2,175.0,c V Sehwag b R Bhatia,5
24,2008-05-04,Rajasthan Royals,Sawai Mansingh Stadium,42,33,4,1,127.27,b Sohail Tanvir,7
26,2008-05-06,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",29,19,1,2,152.63,not out,7
28,2008-05-08,Delhi Daredevils,Feroz Shah Kotla,30,15,2,3,200.0,run out (V Sehwag),5
31,2008-05-10,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",7,6,0,0,116.67,not out,6
36,2008-05-14,Mumbai Indians,Wankhede Stadium,5,4,1,0,125.0,c RV Uthappa b DS Kulkarni,7
46,2008-05-21,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",1,5,0,0,20.0,c R Vinay Kumar b DW Steyn,6
49,2008-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",71,40,6,4,177.5,c RA Jadeja b Sohail Tanvir,4
54,2008-05-27,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",12,12,1,0,100.0,not out,5
59,2008-06-01,Rajasthan Royals,Dr DY Patil Sports Academy,16,13,0,2,123.08,c Kamran Akmal b YK Pathan,4
