innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Kolkata Knight Riders,1,AM Rahane,5,7,FH Allen,18,8,0,23,15
1,Kolkata Knight Riders,2,A Raghuvanshi,11,7,AM Rahane,14,6,0,25,13
1,Kolkata Knight Riders,3,C Green,32,24,A Raghuvanshi,33,22,3,68,46
1,Kolkata Knight Riders,4,RK Singh,49,29,A Raghuvanshi,27,17,0,76,46
1,Kolkata Knight Riders,5,RK Singh,49,29,A Raghuvanshi,27,17,0,76,46
2,Royal Challengers Bengaluru,1,JG Bethell,15,12,V Kohli,19,8,3,37,20
2,Royal Challengers Bengaluru,2,D Padikkal,39,27,V Kohli,45,32,8,92,59
2,Royal Challengers Bengaluru,3,RM Patidar,11,8,V Kohli,15,9,2,28,17
2,Royal Challengers Bengaluru,4,V Kohli,20,8,TH David,2,3,1,23,11
2,Royal Challengers Bengaluru,5,JM Sharma,8,5,V Kohli,6,3,0,14,8
