match_number,date,opponent,venue,result,margin
4,2023-04-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 72 runs
8,2023-04-05,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",lost,by 5 runs
11,2023-04-08,Delhi Capitals,"Barsapara Cricket Stadium, Guwahati",won,by 57 runs
17,2023-04-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 3 runs
23,2023-04-16,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 3 wickets
26,2023-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",lost,by 10 runs
32,2023-04-23,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",lost,by 7 runs
37,2023-04-27,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",won,by 32 runs
42,2023-04-30,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 6 wickets
48,2023-05-05,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",lost,by 9 wickets
52,2023-05-07,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",lost,by 4 wickets
56,2023-05-11,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 9 wickets
60,2023-05-14,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",lost,by 112 runs
66,2023-05-19,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",won,by 4 wickets
