match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2019-03-24,Sunrisers Hyderabad,Eden Gardens,7,11,0,1,63.64,c Rashid Khan b Shakib Al Hasan,1
6,2019-03-27,Kings XI Punjab,Eden Gardens,10,10,2,0,100.0,c DA Miller b Mohammed Shami,1
10,2019-03-30,Delhi Capitals,Arun Jaitley Stadium,20,18,3,0,111.11,c RR Pant b K Rabada,2
17,2019-04-05,Royal Challengers Bangalore,M.Chinnaswamy Stadium,43,31,4,2,138.71,b P Negi,1
21,2019-04-07,Rajasthan Royals,Sawai Mansingh Stadium,50,32,6,3,156.25,c S Midhun b S Gopal,1
23,2019-04-09,Chennai Super Kings,MA Chidambaram Stadium,0,5,0,0,0.0,lbw b DL Chahar,1
29,2019-04-14,Chennai Super Kings,Eden Gardens,82,51,7,6,160.78,c SN Thakur b Imran Tahir,1
35,2019-04-19,Royal Challengers Bangalore,Eden Gardens,1,2,0,0,50.0,c V Kohli b DW Steyn,1
38,2019-04-21,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,51,47,4,1,108.51,c KS Williamson b KK Ahmed,1
43,2019-04-25,Rajasthan Royals,Eden Gardens,0,3,0,0,0.0,b VR Aaron,1
47,2019-04-28,Mumbai Indians,Eden Gardens,54,29,8,2,186.21,c E Lewis b RD Chahar,2
52,2019-05-03,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,46,22,5,3,209.09,c & b AJ Tye,2
56,2019-05-05,Mumbai Indians,Wankhede Stadium,41,29,2,4,141.38,c Q de Kock b HH Pandya,2
