match_number,date,opponent,venue,result,margin
2,2017-04-06,Mumbai Indians,Maharashtra Cricket Association Stadium,won,by 7 wickets
4,2017-04-08,Kings XI Punjab,Holkar Cricket Stadium,lost,by 6 wickets
9,2017-04-11,Delhi Daredevils,Maharashtra Cricket Association Stadium,lost,by 97 runs
13,2017-04-14,Gujarat Lions,Saurashtra Cricket Association Stadium,lost,by 7 wickets
17,2017-04-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 27 runs
24,2017-04-22,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,won,by 6 wickets
28,2017-04-24,Mumbai Indians,Wankhede Stadium,won,by 3 runs
30,2017-04-26,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,lost,by 7 wickets
34,2017-04-29,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,won,by 61 runs
39,2017-05-01,Gujarat Lions,Maharashtra Cricket Association Stadium,won,by 5 wickets
41,2017-05-03,Kolkata Knight Riders,Eden Gardens,won,by 4 wickets
44,2017-05-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 12 runs
52,2017-05-12,Delhi Daredevils,Feroz Shah Kotla,lost,by 7 runs
55,2017-05-14,Kings XI Punjab,Maharashtra Cricket Association Stadium,won,by 9 wickets
57,2017-05-16,Mumbai Indians,Wankhede Stadium,won,by 20 runs
60,2017-05-21,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",lost,by 1 runs
