innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,5,5,Delhi Capitals,R Parag,AR Patel,VK Sharma,wicket,struck down,False
2,10,3,Delhi Capitals,P Nissanka,RA Jadeja,VK Sharma,wicket,struck down,False
2,15,3,Rajasthan Royals,N Rana,TU Deshpande,SJ Nogajski,wicket,upheld,False
