innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Rajasthan Royals,1,YBK Jaiswal,12,9,V Suryavanshi,7,2,0,19,11
1,Rajasthan Royals,2,Dhruv Jurel,28,15,V Suryavanshi,39,19,3,70,34
1,Rajasthan Royals,3,R Parag,51,26,Dhruv Jurel,17,15,4,72,41
1,Rajasthan Royals,4,D Ferreira,0,1,Dhruv Jurel,0,0,0,0,1
1,Rajasthan Royals,5,Ravi Singh,4,2,Dhruv Jurel,0,0,0,4,2
1,Rajasthan Royals,6,SB Dubey,5,9,Dhruv Jurel,3,3,0,8,12
1,Rajasthan Royals,7,MD Shanaka,10,8,Dhruv Jurel,3,4,1,14,12
1,Rajasthan Royals,8,JC Archer,2,2,Dhruv Jurel,2,3,0,4,5
1,Rajasthan Royals,9,AF Milne,2,2,JC Archer,0,0,0,2,2
2,Delhi Capitals,1,Abishek Porel,51,31,KL Rahul,46,30,8,105,61
2,Delhi Capitals,2,SU Parakh,9,8,KL Rahul,7,6,1,17,14
2,Delhi Capitals,3,AR Patel,8,6,KL Rahul,3,6,0,11,12
2,Delhi Capitals,4,T Stubbs,4,6,AR Patel,11,5,5,20,11
2,Delhi Capitals,5,DA Miller,9,6,AR Patel,13,5,0,22,11
2,Delhi Capitals,6,Ashutosh Sharma,18,5,AR Patel,2,2,2,22,7
