innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,20,3,Delhi Capitals,T Stubbs,Sandeep Sharma,UV Gandhe,wicket,struck down,False
2,18,1,Delhi Capitals,D Ferreira,Kuldeep Yadav,KN Ananthapadmanabhan,wicket,upheld,False
2,19,5,Delhi Capitals,R Powell,Rasikh Salam,UV Gandhe,wicket,struck down,False
