innings,team,wicket_number,player_out,score,over
1,Sunrisers Hyderabad,1,TM Head,2,2.2
1,Sunrisers Hyderabad,2,Ishan Kishan,9,3.1
1,Sunrisers Hyderabad,3,Abhishek Sharma,13,4.3
1,Sunrisers Hyderabad,4,Nithish Kumar Reddy,13,5.1
1,Sunrisers Hyderabad,5,Aniket Verma,35,9.3
1,Sunrisers Hyderabad,6,H Klaasen,134,19.6
1,Sunrisers Hyderabad,7,A Manohar,142,20.4
1,Sunrisers Hyderabad,8,PJ Cummins,143,20.6
2,Mumbai Indians,1,RD Rickelton,13,2.4
2,Mumbai Indians,2,WG Jacks,77,10.2
2,Mumbai Indians,3,RG Sharma,130,15.4
