match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2011-04-09,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",4.0,0,18,2,4.5,16,0,1
6,2011-04-11,Kolkata Knight Riders,Eden Gardens,4.0,0,33,1,8.25,11,1,0
11,2011-04-14,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",4.0,0,24,3,6.0,13,0,2
15,2011-04-16,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",3.0,0,24,0,8.0,7,1,1
19,2011-04-19,Delhi Daredevils,Feroz Shah Kotla,4.0,0,24,0,6.0,12,1,0
27,2011-04-24,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",4.0,0,39,0,9.75,8,0,0
32,2011-04-27,Kochi Tuskers Kerala,Nehru Stadium,3.3,2,16,3,4.57,16,2,0
42,2011-05-03,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",4.0,0,31,1,7.75,8,0,0
46,2011-05-05,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",4.0,0,24,2,6.0,11,2,0
53,2011-05-10,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",4.0,0,30,0,7.5,12,1,0
62,2011-05-16,Pune Warriors,Dr DY Patil Sports Academy,4.0,0,23,1,5.75,9,1,0
67,2011-05-21,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,3.0,0,13,1,4.33,11,0,0
