match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2020-09-21,Sunrisers Hyderabad,Dubai International Cricket Stadium,1.0,0,7,0,7.0,4,0,0
6,2020-09-24,Kings XI Punjab,Dubai International Cricket Stadium,2.0,0,13,0,6.5,2,0,0
10,2020-09-28,Mumbai Indians,Dubai International Cricket Stadium,4.0,0,12,1,3.0,13,0,0
15,2020-10-03,Rajasthan Royals,Sheikh Zayed Stadium,4.0,0,20,0,5.0,8,0,0
19,2020-10-05,Delhi Capitals,Dubai International Cricket Stadium,4.0,0,20,0,5.0,9,0,0
25,2020-10-10,Chennai Super Kings,Dubai International Cricket Stadium,3.0,0,16,2,5.33,7,0,0
28,2020-10-12,Kolkata Knight Riders,Sharjah Cricket Stadium,4.0,0,20,2,5.0,7,0,0
31,2020-10-15,Kings XI Punjab,Sharjah Cricket Stadium,4.0,0,38,0,9.5,5,0,0
33,2020-10-17,Rajasthan Royals,Dubai International Cricket Stadium,3.0,0,25,0,8.33,7,0,0
39,2020-10-21,Kolkata Knight Riders,Sheikh Zayed Stadium,4.0,1,14,1,3.5,14,0,0
44,2020-10-25,Chennai Super Kings,Dubai International Cricket Stadium,4.0,0,27,0,6.75,8,0,0
48,2020-10-28,Mumbai Indians,Sheikh Zayed Stadium,4.0,0,20,0,5.0,10,1,0
52,2020-10-31,Sunrisers Hyderabad,Sharjah Cricket Stadium,3.0,0,21,1,7.0,7,0,0
55,2020-11-02,Delhi Capitals,Sheikh Zayed Stadium,4.0,0,24,1,6.0,7,0,0
58,2020-11-06,Sunrisers Hyderabad,Sheikh Zayed Stadium,2.0,0,21,0,10.5,4,0,1
