match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2026-03-29,Mumbai Indians,"Wankhede Stadium, Mumbai",37,17,6,2,217.65,c Tilak Varma b SN Thakur,2
6,2026-04-02,Sunrisers Hyderabad,"Eden Gardens, Kolkata",28,7,4,2,400.0,c & b Harsh Dubey,2
