match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2013-04-05,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",11,12,1,0,91.67,c AB Dinda b B Kumar,6
7,2013-04-07,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",44,46,2,0,95.65,not out,4
9,2013-04-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,4,3,0,0,133.33,not out,7
14,2013-04-12,Delhi Daredevils,Feroz Shah Kotla,17,23,0,1,73.91,c J Botha b M Morkel,4
17,2013-04-14,Kolkata Knight Riders,Eden Gardens,1,2,0,0,50.0,c MK Tiwary b R Bhatia,8
22,2013-04-17,Pune Warriors,Maharashtra Cricket Association Stadium,1,8,0,0,12.5,c AJ Finch b B Kumar,3
25,2013-04-19,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",46,39,5,0,117.95,c DJ Hussey b PP Chawla,3
34,2013-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,3,0,0,66.67,run out (SK Raina),3
36,2013-04-27,Rajasthan Royals,Sawai Mansingh Stadium,4,9,0,0,44.44,c DH Yagnik b KK Cooper,4
43,2013-05-01,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",25,23,2,0,108.7,c AT Rayudu b DS Kulkarni,4
48,2013-05-04,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",11,9,2,0,122.22,not out,6
54,2013-05-08,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",3,8,0,0,37.5,c M Vijay b SK Raina,4
59,2013-05-11,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",5,7,1,0,71.43,c DA Miller b Sandeep Sharma,3
62,2013-05-13,Mumbai Indians,Wankhede Stadium,41,37,4,0,110.81,c MG Johnson b SL Malinga,3
68,2013-05-17,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",19,28,0,0,67.86,c Sachin Baby b SK Trivedi,3
72,2013-05-19,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",6,13,0,0,46.15,c P Dogra b Iqbal Abdulla,3
74,2013-05-22,Rajasthan Royals,Feroz Shah Kotla,1,8,0,0,12.5,c KK Cooper b VS Malik,3
