match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2009-04-18,Rajasthan Royals,Newlands,66,48,8,1,137.5,c SK Warne b MM Patel,5
5,2009-04-20,Chennai Super Kings,St George's Park,20,18,2,0,111.11,c A Flintoff b L Balaji,6
8,2009-04-22,Deccan Chargers,Newlands,48,27,5,2,177.78,c Y Venugopal Rao b SB Styris,5
11,2009-04-24,Kings XI Punjab,Kingsmead,10,13,0,0,76.92,c VRV Singh b PP Chawla,5
33,2009-05-07,Rajasthan Royals,SuperSport Park,0,2,0,0,0.0,c NV Ojha b LA Carseldine,4
38,2009-05-10,Mumbai Indians,St George's Park,10,12,0,0,83.33,"run out (SL Malinga, Harbhajan Singh)",5
41,2009-05-12,Kolkata Knight Riders,SuperSport Park,12,12,1,0,100.0,c & b BAW Mendis,5
44,2009-05-14,Chennai Super Kings,Kingsmead,8,7,2,0,114.29,c S Badrinath b S Tyagi,3
52,2009-05-19,Delhi Daredevils,New Wanderers Stadium,38,34,4,0,111.76,c & b Y Nagar,3
56,2009-05-21,Deccan Chargers,SuperSport Park,6,9,0,0,66.67,c HH Gibbs b PP Ojha,4
58,2009-05-23,Chennai Super Kings,New Wanderers Stadium,44,39,6,0,112.82,lbw b M Muralitharan,4
59,2009-05-24,Deccan Chargers,New Wanderers Stadium,9,13,0,0,69.23,b Harmeet Singh,4
