match_number,date,opponent,venue,result,margin
5,2022-03-29,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",lost,by 61 runs
12,2022-04-04,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",lost,by 12 runs
17,2022-04-09,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",won,by 8 wickets
21,2022-04-11,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",won,by 8 wickets
25,2022-04-15,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",won,by 7 wickets
28,2022-04-17,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",won,by 7 wickets
36,2022-04-23,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",won,by 9 wickets
40,2022-04-27,Gujarat Titans,"Wankhede Stadium, Mumbai",lost,by 5 wickets
46,2022-05-01,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",lost,by 13 runs
50,2022-05-05,Delhi Capitals,"Brabourne Stadium, Mumbai",lost,by 21 runs
54,2022-05-08,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",lost,by 67 runs
61,2022-05-14,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",lost,by 54 runs
65,2022-05-17,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 3 runs
70,2022-05-22,Punjab Kings,"Wankhede Stadium, Mumbai",lost,by 5 wickets
