innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Chennai Super Kings,1,S Badrinath,0,1,ML Hayden,0,0,0,1
1,Chennai Super Kings,2,SK Raina,32,20,ML Hayden,43,34,76,54
1,Chennai Super Kings,3,MS Dhoni,49,23,ML Hayden,46,24,100,47
1,Chennai Super Kings,4,MS Dhoni,7,4,JA Morkel,2,2,9,6
2,Kings XI Punjab,1,S Sohal,2,2,SM Katich,0,0,2,2
2,Kings XI Punjab,2,K Goel,14,20,SM Katich,35,16,51,36
2,Kings XI Punjab,3,SM Katich,15,9,Yuvraj Singh,16,8,31,17
2,Kings XI Punjab,4,Yuvraj Singh,42,28,DPMD Jayawardene,44,25,90,53
