innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Chennai Super Kings,death,89,1,38,14.05,13,8
1,Chennai Super Kings,middle,43,1,38,6.79,6,16
1,Chennai Super Kings,powerplay,53,1,32,9.94,9,13
2,Kings XI Punjab,death,62,0,38,9.79,6,4
2,Kings XI Punjab,middle,63,2,38,9.95,8,9
2,Kings XI Punjab,powerplay,49,1,32,9.19,6,13
