innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,Mandeep Singh,31,4.4
1,Royal Challengers Bangalore,2,V Kohli,40,6.1
1,Royal Challengers Bangalore,3,TM Head,85,11.3
1,Royal Challengers Bangalore,4,AB de Villiers,102,13.2
1,Royal Challengers Bangalore,5,SR Watson,108,14.4
1,Royal Challengers Bangalore,6,P Negi,162,20.4
1,Royal Challengers Bangalore,7,KM Jadhav,162,20.5
1,Royal Challengers Bangalore,8,S Aravind,162,20.6
2,Mumbai Indians,1,PA Patel,0,1.1
2,Mumbai Indians,2,JC Buttler,61,8.3
2,Mumbai Indians,3,N Rana,70,10.2
2,Mumbai Indians,4,KA Pollard,98,13.6
2,Mumbai Indians,5,KH Pandya,101,14.3
2,Mumbai Indians,6,KV Sharma,130,17.3
