match_number,date,opponent,venue,result,margin
4,2022-03-28,Lucknow Super Giants,"Wankhede Stadium, Mumbai",won,by 5 wickets
10,2022-04-02,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",won,by 14 runs
16,2022-04-08,Punjab Kings,"Brabourne Stadium, Mumbai",won,by 6 wickets
21,2022-04-11,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",lost,by 8 wickets
24,2022-04-14,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",won,by 37 runs
29,2022-04-17,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",won,by 3 wickets
35,2022-04-23,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",won,by 8 runs
40,2022-04-27,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 5 wickets
43,2022-04-30,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",won,by 6 wickets
48,2022-05-03,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",lost,by 8 wickets
51,2022-05-06,Mumbai Indians,"Brabourne Stadium, Mumbai",lost,by 5 runs
57,2022-05-10,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",won,by 62 runs
62,2022-05-15,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 7 wickets
67,2022-05-19,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",lost,by 8 wickets
71,2022-05-24,Rajasthan Royals,"Eden Gardens, Kolkata",won,by 7 wickets
74,2022-05-29,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
