innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,PD Salt,0,1.1
1,Royal Challengers Bengaluru,2,D Padikkal,45,3.6
1,Royal Challengers Bengaluru,3,V Kohli,58,5.5
1,Royal Challengers Bengaluru,4,KH Pandya,62,7.2
1,Royal Challengers Bengaluru,5,JM Sharma,76,9.4
1,Royal Challengers Bengaluru,6,TH David,94,11.6
1,Royal Challengers Bengaluru,7,R Shepherd,125,14.6
1,Royal Challengers Bengaluru,8,RM Patidar,166,18.1
2,Rajasthan Royals,1,YBK Jaiswal,21,2.6
2,Rajasthan Royals,2,V Suryavanshi,129,9.1
2,Rajasthan Royals,3,SO Hetmyer,129,9.2
2,Rajasthan Royals,4,R Parag,134,10.4
