innings,over,ball,team,batter,bowler,umpire,type,decision
1,19,6,Punjab Kings,Nithish Kumar Reddy,Arshdeep Singh,R Pandit,wicket,struck down
1,20,3,Punjab Kings,H Klaasen,XC Bartlett,A Bengeri,wicket,struck down
2,1,3,Sunrisers Hyderabad,Priyansh Arya,Harsh Dubey,A Bengeri,wicket,struck down
