innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Kolkata Knight Riders,1,TL Seifert,5,3,AM Rahane,0,1,0,5,4
1,Kolkata Knight Riders,2,A Raghuvanshi,8,4,TL Seifert,7,4,1,16,8
1,Kolkata Knight Riders,3,TL Seifert,7,7,C Green,3,5,1,11,12
1,Kolkata Knight Riders,4,C Green,24,23,R Powell,27,20,4,55,42
1,Kolkata Knight Riders,5,C Green,48,16,AS Roy,9,7,3,60,23
1,Kolkata Knight Riders,6,RK Singh,1,2,C Green,0,0,0,1,2
1,Kolkata Knight Riders,7,Ramandeep Singh,17,8,C Green,0,0,0,17,8
1,Kolkata Knight Riders,8,SP Narine,0,5,C Green,1,1,0,1,6
1,Kolkata Knight Riders,9,Kartik Tyagi,6,4,C Green,1,1,0,7,5
1,Kolkata Knight Riders,10,C Green,2,9,VG Arora,0,1,5,7,10
2,Gujarat Titans,1,B Sai Sudharsan,22,16,Shubman Gill,34,15,1,57,31
2,Gujarat Titans,2,JC Buttler,25,15,Shubman Gill,13,9,0,38,24
2,Gujarat Titans,3,Washington Sundar,13,13,Shubman Gill,31,19,2,46,32
2,Gujarat Titans,4,GD Phillips,7,8,Shubman Gill,8,7,2,17,15
2,Gujarat Titans,5,GD Phillips,12,8,R Tewatia,6,5,1,19,13
2,Gujarat Titans,6,M Shahrukh Khan,3,2,R Tewatia,1,1,0,4,3
