innings,over,ball,team,player_in,player_out,reason
2,7,1,Kolkata Knight Riders,CV Varun,A Raghuvanshi,impact_player
2,20,2,Gujarat Titans,M Shahrukh Khan,M Prasidh Krishna,impact_player
