match_number,date,opponent,catches,stumpings,run_outs
5,2022-03-29,Sunrisers Hyderabad,1,0,0
9,2022-04-02,Mumbai Indians,1,0,0
20,2022-04-10,Lucknow Super Giants,2,0,0
30,2022-04-18,Kolkata Knight Riders,1,0,0
34,2022-04-22,Delhi Capitals,0,0,1
39,2022-04-26,Royal Challengers Bangalore,4,0,0
44,2022-04-30,Mumbai Indians,2,0,0
63,2022-05-15,Lucknow Super Giants,2,0,0
68,2022-05-20,Chennai Super Kings,2,0,0
73,2022-05-27,Royal Challengers Bangalore,1,0,0
74,2022-05-29,Gujarat Titans,1,0,0
