innings,team,wicket_number,player_out,score,over
1,Kochi Tuskers Kerala,1,BB McCullum,43,6.3
1,Kochi Tuskers Kerala,2,M Klinger,64,9.2
1,Kochi Tuskers Kerala,3,DPMD Jayawardene,72,10.6
1,Kochi Tuskers Kerala,4,PA Patel,73,11.2
1,Kochi Tuskers Kerala,5,BJ Hodge,89,14.3
1,Kochi Tuskers Kerala,6,RV Gomez,106,18.2
1,Kochi Tuskers Kerala,7,R Vinay Kumar,115,19.3
1,Kochi Tuskers Kerala,8,RA Jadeja,122,20.3
1,Kochi Tuskers Kerala,9,RP Singh,122,20.4
2,Royal Challengers Bangalore,1,CH Gayle,67,4.5
