match_number,date,opponent,venue,result,margin
3,2017-04-07,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 10 wickets
7,2017-04-09,Mumbai Indians,Wankhede Stadium,lost,by 4 wickets
11,2017-04-13,Kings XI Punjab,Eden Gardens,won,by 8 wickets
14,2017-04-15,Sunrisers Hyderabad,Eden Gardens,won,by 17 runs
18,2017-04-17,Delhi Daredevils,Feroz Shah Kotla,won,by 4 wickets
23,2017-04-21,Gujarat Lions,Eden Gardens,lost,by 4 wickets
27,2017-04-23,Royal Challengers Bangalore,Eden Gardens,won,by 82 runs
30,2017-04-26,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,won,by 7 wickets
32,2017-04-28,Delhi Daredevils,Eden Gardens,won,by 7 wickets
37,2017-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 48 runs
41,2017-05-03,Rising Pune Supergiant,Eden Gardens,lost,by 4 wickets
46,2017-05-07,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 6 wickets
49,2017-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 14 runs
54,2017-05-13,Mumbai Indians,Eden Gardens,lost,by 9 runs
58,2017-05-17,Sunrisers Hyderabad,M Chinnaswamy Stadium,won,by 7 wickets
59,2017-05-19,Mumbai Indians,M Chinnaswamy Stadium,lost,by 6 wickets
